key	zh	en	es	fr	de	it	ja	ko	pt-BR	ru
Achievements/AC09_DESC	击败克兰莎，束裹之痛.	Defeat Crisanta of the Wrapped Agony.	Vence a Crisanta de la Agonía Vendada.	Vaincre Crisanta du Linceul d'agonie.	Besiegt Crisanta der Verhüllten Pein.	Sconfiggi Crisanta dell'Agonia bendata.	拘束の苦悶クリサンタを倒す。	감싸인 고뇌의 크리산타를 처치한다	Derrote Crisanta Envolta em Agonia.	Победите Крисанту, дитя агонии в обмотках.
Achievements/AC09_NAME	弃绝信仰	Duel of Faith	Duelo de fe	Duel de foi	Duell des Glaubens	Duello di Fede	信仰の衝突	신념을 건 결투	Duelo de fé	Дуэль веры
Achievements/AC10_DESC	击败埃斯科利巴圣王	Defeat His Holiness Escribar.	Vence a Su Santidad Escribar.	Vaincre Sa Sainteté Escribar.	Besiegt Seine Heiligkeit Escribar.	Sconfiggi Sua Santità Escribar.	聖下エスクリバーを倒す。	에스크리바르 교황 성하를 처치한다	Derrote Sua Santidade Escribar.	Победите Его Святейшество Эскрибара.
Achievements/AC10_NAME	渎神极致	Summa Blasphemia	Summa Blasphemia	Summa Blasphemia	Alles Blasphemie	Summa Blasphemia	スーマ・ブラスフェミア	궁극의 신성모독	Summa Blasphemia	Summa Blasphemia
Achievements/AC11_DESC	解锁A结局	Unlock ending A.	Desbloquea el final A.	Débloquer la fin A.	Schaltet das Ende A frei.	Sblocca il finale A.	エンディングAを解放する。	엔딩 A를 본다	Desbloqueie o final A.	Откройте концовку А.
Achievements/AC11_NAME	信徒之途	The Path of the Believer	El camino del creyente	La voie du fidèle	Der Pfad des Gläubigen	La Via del Credente	信ずる者の道	신자의 여정	O caminho do crente	Путь Верующего
Achievements/AC12_DESC	解锁B结局	Unlock ending B.	Desbloquea el final B.	Débloquer la fin B.	Schaltet das Ende B frei.	Sblocca il finale B.	エンディングBを解放する。	엔딩 B를 본다	Desbloqueie o final B.	Откройте концовку B.
Achievements/AC12_NAME	卑者之途	The Path of the Unworthy	El camino del indigno	La voie de l'indigne	Der Pfad des Unwürdigen	La Via dell'Indegno	無価値なる者の道	무가치한 여정	O caminho do indigno	Путь Недостойного
Achievements/AC13_DESC	释放所有小天使	Release all cherubs.	Libera a todos los querubines.	Libérer tous les chérubins.	Befreit alle Cherubim.	Libera tutti i cherubini.	智天使をすべて解放する。	작은 천사를 모두 풀어준다	Liberte todos os querubins.	Отпустите всех херувимов.
Achievements/AC13_NAME	公牛与月亮	The Bull and the Moon	El toro y la luna	Le Taureau et la Lune	Der Bulle und der Mond	Il Toro e la Luna	雄牛と月	황소와 달	O touro e a lua	Бык и Луна
Achievements/AC14_DESC	发现26具原初死者的遗言	Discover the last words of the 26 original corpses.	Descubre las últimas palabras de los 26 cadáveres del juego base.	Découvrir les dernières paroles des 26 cadavres d'origine.	Entdeckt die letzten Worte der 26 urschriftlichen Leichen.	Scopri le ultime parole dei 26 cadaveri originali.	初期に実装された死体26人すべてと会話する。	26구의 시신이 남긴 유언을 모두 확인한다	Descubra as últimas palavras dos 26 cadáveres originais.	Узнайте последние слова 26 изначальных трупов.
Achievements/AC14_NAME	遗言	Last Words	Últimas palabras	Dernières paroles	Letzte Worte	Le Ultime Parole	最後の言葉	유언	Últimas palavras	Последние слова
Achievements/AC15_DESC	完成所有竞技场挑战	Complete all the arena’s challenges.	Supera todos los desafíos de la arena.	Surmonter tous les défis d'arène.	Schließt alle Arena-Herausforderungen ab.	Completa tutte le sfide dell'arena.	試練をすべてクリアする。	아레나 도전을 모두 완료한다	Complete todos os desafios de arena.	Пройдите все испытания на арене.
Achievements/AC15_NAME	弃绝联系	Detestatio Sacrorum	Detestatio Sacrorum	Detestatio Sacrorum	Detestatio Sacrorum	Detestatio Sacrorum	デテスタシオ・サクロラム	신성 불가침	Detestatio Sacrorum	Detestatio Sacrorum
Achievements/AC16_DESC	获得13个原初祷文	Get the 13 original prayers.	Consigue los 13 rezos del juego base.	Trouver les 13 prières d'origine.	Erlangt die 13 urschriftlichen Gebete.	Ottieni le 13 preghiere originali.	初期に実装された祈詞13個をすべてゲットする。	13종의 기본 기도문을 모은다	Consiga as 13 orações originais.	Найдите 13 изначальных молитв.
Achievements/AC16_NAME	竭诚奉献	Unwavering Devotion	Devoción firme	Dévotion inébranlable	Unerschütterlicher Glaube	Devozione incrollabile	揺るぎない信仰心	변함없는 헌신	Devoção inabalável	Непоколебимое рвение
Achievements/AC17_DESC	获得7份原初圣物	Get the 7 original relics.	Consigue las 7 reliquias del juego base.	Trouver les 7 reliques d'origine.	Erlangt die 7 urschriftlichen Relikte.	Ottieni le 7 reliquie originali.	初期に実装された聖遺物7個をすべてゲットする。	7종의 기본 유물을 모은다	Consiga as 7 relíquias originais.	Найдите 7 изначальных реликвий.
Achievements/AC17_NAME	皮与骨	Skin and Bones	Piel y huesos	La peau et les os	Haut und Knochen	Pelle e Ossa	皮と骨	살점과 뼈	Pele e ossos	Кожа да кости
Achievements/AC18_DESC	获得30颗诵经念珠	Get the 30 original rosary beads.	Consigue las 30 cuentas de rosario del juego base.	Trouver les 30 perles de rosaire d'origine.	Erlangt die 30 urschriftlichen Rosenkranzperlen.	Ottieni i 30 Grani del rosario originali.	初期に実装された数珠玉30個をすべてゲットする。	30종의 기본 묵주 구슬을 모은다	Consiga as 30 contas de rosário originais.	Найдите 30 изначальных бусин розария.
Achievements/AC18_NAME	神秘路西斯	Mysteria Lucis	Mysteria Lucis	Mysteria Lucis	Mysteria Lucis	Mysteria Lucis	ミステリア・ルシス	신비한 빛	Mysteria Lucis	Mysteria Lucis
Achievements/AC19_DESC	获得44个原初收藏品	Get the 44 original collectibles.	Consigue los 44 coleccionables del juego base.	Trouver les 44 objets de collection d'origine.	Erlangt die 44 urschriftlichen Sammelstücke.	Ottieni i 44 collezionabili originali.	初期に実装された収集物44個をすべてゲットする。	44종의 기본 수집품을 모은다	Consiga os 44 colecionáveis originais.	Найдите 44 останков в коллекцию.
Achievements/AC19_NAME	藏骨瓮守望者	Warden of the Ossuary	Guardián del osario	Gardien de l'Ossuaire	Wart des Beinhauses	Guardiano dell'Ossario	納骨堂の番人	납골당 관리인	Guardião do Ossário	Хранитель склепа
Achievements/AC20_DESC	获得9个原初剑之心	Get the 9 original sword hearts.	Consigue los 9 corazones de la espada del juego base.	Trouver les 9 cœurs d'épée d'origine.	Erlangt die 9 urschriftlichen Schwertherzen.	Ottieni i 9 Cuori di spada originali.	初期に実装された剣の心臓9個をすべてゲットする。	9종의 기본 검의 심장을 모은다	Consiga os 9 corações de espada originais.	Найдите 9 изначальных сердцевин меча.
Achievements/AC20_NAME	心与痕	Heartbreaker	Rompecorazones	Cœur brisé	Herzensbrecher	Spezzacuori	心臓破り	심장 파괴자	Rompecoração	Разбиватель сердец
Achievements/AC21_DESC	探索古斯托迪亚主要区域	Discover the main areas of Cvstodia.	Descubre las zonas principales de Cvstodia.	Découvrir les zones principales de Cvstodia.	Entdeckt die Hauptgebiete von Cvstodia.	Scopri le zone principali di Cvstodia.	クヴストディアのメインエリアを発見する。	쿠스토디아의 주요 지역을 발견한다	Descubra as principais áreas de Cvstodia.	Исследуйте основные области Кастодии.
Achievements/AC21_NAME	古斯托迪亚的朝圣者	Cvstodia's Pilgrim	Peregrino de Cvstodia	Pèlerin de Cvstodia	Cvstodias Pilger	Pellegrino di Cvstodia	クヴストディアの巡礼者	쿠스토디아 순례자	Peregrino de Cvstodia	Паломник из Кастодии
Achievements/AC22_DESC	生命值达到最大值	Achieve maximum health.	Alcanza la capacidad máxima de salud.	Atteindre la santé maximale.	Erreicht die maximale Gesundheit.	Raggiungi il livello massimo di Salute.	体力を最大値まで上昇させる。	체력을 최대까지 올린다	Alcance o máximo de vida.	Наберите максимальное количество здоровья.
Achievements/AC22_NAME	六刺之痛	Six Stinging Pains	Seis dolores afilados	Six plaies béantes	Sechs stechende Schmerzen	Sei Dolori Strazianti	六つの痛み	찌를 듯한 여섯 번의 고통	Seis dores lancinantes	Шесть пронзающих болей
Achievements/AC23_DESC	热情值达到最大值	Achieve maximum fervour.	Alcanza la capacidad máxima de fervor.	Atteindre la ferveur maximale.	Erreicht die maximale Inbrunst.	Raggiungi il livello massimo di Fervore.	熱情を最大値まで上昇させる。	열정을 최대까지 올린다	Alcance o máximo de fervor.	Наберите максимальное количество рвения.
Achievements/AC23_NAME	信仰洗礼	Baptism of Faith	Bautismo de fe	Baptême de foi	Glaubenstaufe	Battesimo di Fede	信仰の洗礼	종교적 세례	Batismo de fé	Крещение верой
Achievements/AC24_DESC	孽刃达到最大等级	Achieve the maximum level of the sword Mea Culpa.	Alcanza el nivel máximo de la espada Mea Culpa.	Obtenir le niveau maximal pour l'épée Mea Culpa.	Erreicht die Maximalstufe des Schwertes Mea Culpa.	Raggiungi il livello massimo della spada Mea Culpa.	懺悔の剣を最大レベルまで強化する。	메아 쿨파의 레벨을 최대까지 올린다	Alcance o nível máximo da espada Mea Culpa.	Улучшите меч Mea Culpa до максимального уровня.
Achievements/AC24_NAME	孽刃	Mea Culpa	Mea Culpa	Mea Culpa	Mea Culpa	Mea Culpa	懺悔の剣	메아 쿨파	Mea Culpa	Mea Culpa
Achievements/AC25_DESC	圣水瓶达到最大值	Achieve maximum flask capacity.	Alcanza la capacidad máxima de matraces.	Atteindre la capacité de flasque maximale.	Erreicht die maximale Flaschenkapazität.	Raggiungi la capacità massima delle Boccette.	フラスコ瓶を最大数入手する。	플라스크 용량을 최대까지 올린다	Alcance a capacidade máxima de frascos.	Наберите максимальное количество склянок.
Achievements/AC25_NAME	生命之泉	The Fountain of Life	La fuente de la vida	La fontaine de vie	Der Lebensbrunnen	Fontana della Vita	命の泉	생명의 분수	A fonte da vida	Фонтан жизни
Achievements/AC26_DESC	诵经念珠空槽达到最大值	Achieve the maximum number of rosary bead slots.	Alcanza la capacidad máxima de huecos para cuentas de rosario.	Obtenir le nombre maximal d'emplacements de perles de rosaire.	Erreicht die maximale Anzahl an Rosenkranzperlen.	Raggiungi il numero massimo di slot per i Grani del rosario.	ロザリオのスロット数を最大値まで上昇させる。	묵주 구슬 슬롯 수를 최대까지 올린다	Alcance o número máximo de espaços para contas de rosário.	Откройте максимальное число ячеек розария.
Achievements/AC26_NAME	恩歌拉夏	Engracia	Engracia	Engracia	Engracia	Engracia	エングラシア	엔그라시아	Engracia	Энграсия
Achievements/AC27_DESC	处决5个不同的敌人	Execute 5 different enemies.	Ejecuta a 5 enemigos diferentes.	Exécuter 5 ennemis différents.	Exekutiert 5 verschiedene Feinde.	Giustizia 5 nemici diversi.	5種類の異なる敵を処刑する。	5 종류의 적을 처형한다	Execute 5 inimigos diferentes.	Казните пятерых разных противников.
Achievements/AC27_NAME	宗教裁判所	Inquisition	Inquisición	Inquisition	Inquisition	Inquisizione	宗教裁判	종교 재판	Inquisição	Инквизиция
Achievements/AC28_DESC	使用5次正义天罚	Use a Righteous Riposte 5 times.	Usa un Riposte Justo 5 veces.	Utiliser la Riposte vertueuse 5 fois.	Setzt den Gerechten Konter 5-mal ein.	Usa una Risposta proba 5 volte.	天罰を5回成功させる。	지당한 응보를 5회 사용한다	Use um Contra-ataque Justo 5 vezes.	Используйте праведное парирование пять раз.
Achievements/AC28_NAME	释放威力	Power Unleashed	Poder liberado	Pouvoir déchaîné	Entfesselte Macht	Potenza Scatenata	力の解放	힘의 개방	Poder liberado	Высвобождение силы
Achievements/AC29_DESC	访问长尾礼服女士之墓	Visit the tomb of the Lady of the Tailed Gown.	Visita la tumba de la Señora de la Bata de Cola.	Explorer la tombe de la Dame à la Robe traînante.	Besucht das Grab der Dame mit dem Schleppenkleid.	Fai visita alla tomba della Signora del Flamenco.	尾引く法服の淑女の墓を訪れる。	꼬리 달린 가운의 여인이 잠든 무덤을 방문한다	Visite a tumba da Nossa Senhora do Vestido Longo.	Посетите могилу Госпожи в хвостатом платье.
Achievements/AC29_NAME	污染者之欲	The Desire of the Corrupted	El deseo del corrompido	Le désir des corrompus	Der Wunsch der Verderbten	Il Desiderio del Corrotto	堕落者の願望	타락한 자의 욕망	O desejo do corrompido	Вожделение развратницы
Achievements/AC30_DESC	将所有供品带给罗德维罗	Bring all the offerings to Lvdovico.	Lleva todas las ofrendas a Lvdovico.	Apporter toutes les offrandes à Lvdovico.	Bringt alle Opfergaben zu Lvdovico.	Porta tutte le offerte a Lvdovico.	ルヴドヴィコに捧げものをすべて届ける。	루도비코에게 모든 공물을 전해준다	Leve todas as oferendas a Lvdovico.	Принесите все подношения Лудовико.
Achievements/AC30_NAME	真正的神龛	True Shrine	Genuino sepulto	Vrai autel	Wahrer Schrein	Vero Santuario	真の祭殿	진정한 사원	Santuário Real	Истинный храм
Achievements/AC31_DESC	目睹维尔达拉的最后时刻	Witness the dying moments of Viridiana.	Presencia los últimos momentos de Viridiana.	Assister au trépas de Viridiana.	Bezeugt die letzten Momente von Viridiana.	Assisti agli ultimi momenti di Viridiana.	ヴィリディアナの最期を見届ける。	비리디아나의 마지막 순간을 지켜본다	Presencie os momentos agonizantes de Viridiana.	Узрите последние мгновения Виридианы.
Achievements/AC31_NAME	最后一息	Dying Breath	Estertor	Dernier souffle	Letzter Atemzug	Ultimo Respiro	臨終	마지막 숨결	Suspiro agonizante	Последний вздох
Achievements/AC32_DESC	帮助克罗法斯完成他的救赎之旅	Help Cleofas on his path of redemption.	Ayuda a Cleofás en su redención.	Accompagner Cleofas sur le chemin de sa rédemption.	Helft Cleofás auf seinem Pfad der Erlösung.	Aiuta Cleofás lungo la via della sua redenzione.	クレファスの贖罪を手助けする。	클레오파스의 구원을 돕는다	Ajude Cleofas no caminho da redenção.	Помогите Клеофасу на его пути к искуплению.
Achievements/AC32_NAME	重生	Rebirth	Renacimiento	Renaissance	Wiedergeburt	Rinascita	再誕	환생	Renascimento	Перерождение
Achievements/AC33_DESC	帮助朝圣者抵达最终目的地	Help the pilgrim reach his destination.	Ayuda al peregrino a llegar a su destino.	Aider le pèlerin à atteindre sa destination.	Helft dem Pilger, sein Ziel zu erreichen.	Aiuta il pellegrino a raggiungere la sua destinazione.	巡礼者を助け、目的地へと辿り着かせる。	순례자가 목적지에 도달할 수 있도록 돕는다	Ajude o peregrino a alcançar seu final.	Помогите паломнику добраться до цели.
Achievements/AC33_NAME	朝圣之旅	Ultreia et Suseia	Ultreia et Suseia	Ultreia et Suseia	Ultreia et Suseia	Ultreia et Suseia	ウルトレイア・エ・スゼイア	더 멀리, 더 높이	Ultreia et Suseia	Ultreia et Suseia
Achievements/AC34_DESC	将所有供品带给盐岸神佑领主	Bring all offerings to the Lord of the Salty Shores.	Lleva todas ofrendas al Señor de las Orillas Saladas.	Apporter toutes les offrandes au Seigneur des Rives salées.	Bringt alle Opfergaben zum Herrn der Salzufer.	Porta tutte le offerte al Signore delle Sponde salmastre.	塩岸の祝福されし神に捧げものをすべて届ける。	소금 해안의 축성자에게 모든 공물을 전해준다	Leve todas as oferendas ao Senhor das Margens Salgadas.	Принесите все подношения Повелителю Соленых берегов.
Achievements/AC34_NAME	以至高意志之名	In the name of the High Wills	En nombre de las Altas Voluntades	Au nom des Volontés supérieures	Im Namen des Höheren Willens	Per la Volontà Suprema	天の意志の名において	신의 이름으로	Em nome da Vontade Suprema	Во имя Высшей Воли
Achievements/AC35_DESC	拯救所有吻伤者	Save all Kissers of Wounds.	Salva a todos los Besadores de Llagas.	Sauver toutes les sœurs du Baiser des plaies.	Rettet alle Küsser der Wunden.	Salva tutti i Baciatori di piaghe.	口付けの廉施者を全員救う。	상처에 입맞추는 자들을 모두 구원한다	Salve todos os Beijadores de Chagas.	Спасите всех Целователей ран.
Achievements/AC35_NAME	地中海饮食	Mediterranean Diet	Dieta mediterránea	Régime méditerranéen	Mediterrane Kost	Dieta Mediterranea	地中海食	지중해식 식단	Dieta mediterrânea	Средиземноморская диета
Achievements/AC36_DESC	购买卡德拉尼亚商店中的所有物品	Buy all the items in the Candelaria shops.	Compra todos los objetos en las tiendas de Candelaria.	Acheter tous les objets des boutiques de la Candelaria.	Kauft alle Artikel in den Läden von Candelaria.	Compra tutti gli oggetti nelle botteghe di Candelaria.	カンデラリアの商店ですべてのアイテムを買う。	칸델라리아의 상점에 진열된 물건을 모두 구입한다	Compre todos os itens nas lojas de Candelária.	Купите все предметы в лавке Канделярии.
Achievements/AC36_NAME	跳蚤市场	Flea Market	Mercadillo	Marché aux puces	Flohmarkt	Mercato delle Pulci	卑しい商店	벼룩시장	Mercado das Pulgas	Блошиный рынок
Achievements/AC37_DESC	孵化阿塔吉拉卡斯之卵	Hatch the Egg of Altasgracias.	Haz eclosionar el huevo de Altasgracias.	Faire éclore l'œuf d'Altasgracias.	Brütet das Ei von Altasgracias aus.	Fai schiudere l'uovo di Altasgracias.	アルタスグラシアスの卵を孵化させる。	알타스그라시아스의 알을 부화시킨다	Choque o ovo de Altasgracias.	Разбейте Яйцо Альтаграсьяс.
Achievements/AC37_NAME	温与柔	Warm and Soft	Cálido y suave	Chaud et doux	Warm und weich	Tenero e Caldo	温柔なる物	따뜻하고 부드러운 것	Quente e macio	Тепло и мягко
Achievements/AC38_DESC	击败佩佩塔	Defeat Perpetva.	Vence a Perpetva.	Vaincre Perpetva.	Besiegt Perpetva.	Sconfiggi Perpetva.	ペルペチュアを倒す。	페르페투아를 처치한다	Derrote Perpetva.	Победите Перпетву.
Achievements/AC38_NAME	姐妹	The Sister	La hermana	La Sœur	Die Schwester	La Sorella	妹	자매	A irmã	Сестра
Achievements/AC39_DESC	消灭51种原初敌人	Defeat the 51 original types of enemies.	Vence a los 51 tipos de enemigos del juego base.	Vaincre les 51 types d'ennemis d'origine.	Besiegt die 51 urschriftlichen Feindtypen.	Sconfiggi i 51 tipi originali di nemici.	初期に実装された敵51種類をすべて倒す。	51종류의 기본 적을 모두 처치한다	Derrote os 51 tipos originais de inimigos.	Победите противников 51 изначальных типов.
Achievements/AC39_NAME	动物寓言集	Bestiary	Bestiario	Bestiaire	Bestiarium	Bestiario	動物寓話	우화집	Bestiário	Бестиарий
Achievements/AC40_DESC	自孽刃神龛购买所有技能	Unlock all the abilities on the Mea Culpa altars.	Desbloquea todas las habilidades en los altares de Mea Culpa.	Débloquer toutes les capacités sur les autels de Mea Culpa.	Schaltet alle Fähigkeiten der Mea-Culpa-Altäre frei.	Sblocca tutte le abilità sugli altari del Mea Culpa.	懺悔の剣の祭壇ですべてのスキルを買う。	메아 쿨파의 모든 능력을 해제한다	Desbloqueie todas as habilidades nos altares de Mea Culpa.	Откройте все способности на алтарях Mea Culpa.
Achievements/AC40_NAME	血与泪	Blood and Tears	Sangre y lágrimas	Sang et larmes	Blut und Tränen	Sangue e Lacrime	血と涙	피와 눈물	Sangue e lágrimas	Кровь и слезы
Achievements/AC41_DESC	击败666名敌人	Kill 666 enemies.	Mata a 666 enemigos.	Tuer 666 ennemis.	Tötet 666 Gegner.	Uccidi 666 nemici.	敵を666体殺す。	적을 666명 처치한다	Mate 666 inimigos.	Убейте 666 противников.
Achievements/AC41_NAME	野兽之数	The Number of the Beasts	El número de las bestias	Le nombre des bêtes	Die Zahl der Bestien	Il Numero della Bestia	悪魔の数字	짐승의 숫자	O número das bestas	Число зверя
Achievements/AC42_DESC	促进雷德罗与克罗法斯的会面	Provoke the meeting between Redento and Cleofas.	Provoca que Redento y Cleofás se encuentren.	Provoquer la rencontre entre Redento et Cleofas.	Provoziert das Treffen zwischen Redento und Cleofás.	Provoca l'incontro fra Redento e Cleofás.	レデントとクレファスを邂逅させる。	리덴토와 클레오파스가 만나게 돕는다	Provoque o encontro entre Redento e Cleofas.	Устройте встречу Реденто и Клеофаса.
Achievements/AC42_NAME	灵魂交际	Crossing Souls	Almas cruzadas	Âmes croisées	Kreuzende Seelen	Anime affini	渡り行く魂	영혼의 만남	Almas em passagem	Родственные души
Achievements/AC43_DESC	不用圣水瓶的情况下消灭原初的首领	Defeat the original bosses without consuming any bile flasks.	Vence a los jefes del juego base sin consumir matraces biliares.	Vaincre les boss d'origine sans consommer de flasque de bile.	Besiegt die urschriftlichen Bosse, ohne Gallen-Flaschen einzusetzen.	Sconfiggi i boss originali senza consumare Boccette biliari.	初期に実装されたボスすべてをフラスコ瓶を使用せずに倒す。	플라스크를 사용하지 않은 상태에서 기본 보스를 전부 처치한다	Derrote os chefes originais sem consumir frascos de bile.	Одолейте изначальных боссов, не использовав ни одной склянки с желчью.
Achievements/AC43_NAME	镇魂曲	Requiem Aeternam	Requiem Aeternam	Requiem Aeternam	Requiem Aeternam	Requiem Aeternam	レクイエム・エテルナム	영원한 안식을	Requiem Aeternam	Requiem Aeternam
Achievements/AC44_DESC	在3小时内穿越三颅之桥上的铜门	Pass through the bronze door on the Bridge of the Three Calvaries in less than 3 hours.	Cruza la puerta de bronce en el Puente de los Tres Calvarios en menos de 3 horas.	Franchir la porte de bronze sur le Pont du calvaire en moins de 3 heures.	Durchschreitet die Bronzetür auf der Brücke der Drei Kalvarien in weniger als 3 Stunden.	Oltrepassa la porta di bronzo sul Ponte dei Tre Calvari in meno di 3 ore.	3時間以内に、三試練の橋にある銅の扉を突破する。	갈보리의 다리에 위치한 청동 문을 3시간 내에 통과한다	Passe pela porta de bronze na Ponte do Calvário em menos de 3 horas.	Пройдите через бронзовые врата на Мосту Страстей Господних меньше чем за 3 часа после начала игры.
Achievements/AC44_NAME	铜质奖章	Bronze Medal	Medalla de bronce	Médaille de bronze	Bronzemedaille	Medaglia di Bronzo	青銅のメダル	동메달	Medalha de bronze	Бронзовая медаль
Achievements/AC46_DESC	游戏完成度100%	Beat 100% of the game.	Supera el 100 % del juego.	Accomplir 100 % du jeu.	Schließt das Spiel zu 100 % ab.	Completa il gioco al 100%.	ゲームで100%を達成する。	게임을 100%로 완료한다	Conclua 100% do jogo.	Пройдите игру на 100%.
Achievements/AC46_NAME	目睹奇迹	Witness of the Miracle	Testigo del Milagro	Témoin du Miracle	Zeuge des Mirakels	Testimone del Miracolo	奇蹟の目撃者	기적의 목격자	Testemunha do Milagre	Очевидец Чуда
BOSSES/DLG_BS102_01_0	忏悔者啊，把我从这虚伪的美德中解脱出来吧。把我从这虚假的死亡中解脱出来！	Penitent One, free me from this false virtue. Free me from this false death.	Penitente, libradme de esta falsa virtud. Libradme de esta falsa muerte.	Pénitent, libérez-moi de cette fausse vertu. Libérez-moi de cette fausse mort.	Büßer, befreit mich von dieser falschen Tugend. Befreit mich von diesem falschen Tod.	Penitente, liberatemi da questa falsa virtù. Liberatemi da questa falsa morte.	悔悟者よ この偽りの美徳から 私を救いたまえ@@この偽りの死から 私を解き放ちたまえ	참회자여, 이 거짓된 미덕에서 날 풀어다오. 이 거짓 죽음에서 날 풀어다오.	Penitente, liberte-me desta falsa virtude. Liberte-me desta falsa morte.	Кающийся, избавь меня от ложной добродетели. Избавь меня от мнимой смерти сей.
