key	zh	en	es
Achievements/AC31_DESC	目睹维尔达拉的最后时刻	Witness the dying moments of Viridiana.	Presencia los últimos momentos de Viridiana.
Achievements/AC31_NAME	最后一息	Dying Breath	Estertor
Achievements/AC32_DESC	帮助克罗法斯完成他的救赎之旅	Help Cleofas on his path of redemption.	Ayuda a Cleofás en su redención.
Achievements/AC32_NAME	重生	Rebirth	Renacimiento
Achievements/AC33_DESC	帮助朝圣者抵达最终目的地	Help the pilgrim reach his destination.	Ayuda al peregrino a llegar a su destino.
Achievements/AC33_NAME	朝圣之旅	Ultreia et Suseia	Ultreia et Suseia
Achievements/AC34_DESC	将所有供品带给盐岸神佑领主	Bring all offerings to the Lord of the Salty Shores.	Lleva todas ofrendas al Señor de las Orillas Saladas.
Achievements/AC34_NAME	以至高意志之名	In the name of the High Wills	En nombre de las Altas Voluntades
Achievements/AC35_DESC	拯救所有吻伤者	Save all Kissers of Wounds.	Salva a todos los Besadores de Llagas.
Achievements/AC35_NAME	地中海饮食	Mediterranean Diet	Dieta mediterránea
Achievements/AC36_DESC	购买卡德拉尼亚商店中的所有物品	Buy all the items in the Candelaria shops.	Compra todos los objetos en las tiendas de Candelaria.
Achievements/AC36_NAME	跳蚤市场	Flea Market	Mercadillo
Achievements/AC37_DESC	孵化阿塔吉拉卡斯之卵	Hatch the Egg of Altasgracias.	Haz eclosionar el huevo de Altasgracias.
Achievements/AC37_NAME	温与柔	Warm and Soft	Cálido y suave
Achievements/AC38_DESC	击败佩佩塔	Defeat Perpetva.	Vence a Perpetva.
Achievements/AC38_NAME	姐妹	The Sister	La hermana
Achievements/AC39_DESC	消灭51种原初敌人	Defeat the 51 original types of enemies.	Vence a los 51 tipos de enemigos del juego base.
Achievements/AC39_NAME	动物寓言集	Bestiary	Bestiario
Achievements/AC40_DESC	自孽刃神龛购买所有技能	Unlock all the abilities on the Mea Culpa altars.	Desbloquea todas las habilidades en los altares de Mea Culpa.
Achievements/AC40_NAME	血与泪	Blood and Tears	Sangre y lágrimas
Achievements/AC41_DESC	击败666名敌人	Kill 666 enemies.	Mata a 666 enemigos.
Achievements/AC41_NAME	野兽之数	The Number of the Beasts	El número de las bestias
Achievements/AC42_DESC	促进雷德罗与克罗法斯的会面	Provoke the meeting between Redento and Cleofas.	Provoca que Redento y Cleofás se encuentren.
Achievements/AC42_NAME	灵魂交际	Crossing Souls	Almas cruzadas
Achievements/AC43_DESC	不用圣水瓶的情况下消灭原初的首领	Defeat the original bosses without consuming any bile flasks.	Vence a los jefes del juego base sin consumir matraces biliares.
Achievements/AC43_NAME	镇魂曲	Requiem Aeternam	Requiem Aeternam
Achievements/AC44_DESC	在3小时内穿越三颅之桥上的铜门	Pass through the bronze door on the Bridge of the Three Calvaries in less than 3 hours.	Cruza la puerta de bronce en el Puente de los Tres Calvarios en menos de 3 horas.
Achievements/AC44_NAME	铜质奖章	Bronze Medal	Medalla de bronce
Achievements/AC46_DESC	游戏完成度100%	Beat 100% of the game.	Supera el 100 % del juego.
Achievements/AC46_NAME	目睹奇迹	Witness of the Miracle	Testigo del Milagro
BOSSES/DLG_BS102_01_0	忏悔者啊，把我从这虚伪的美德中解脱出来吧。把我从这虚假的死亡中解脱出来！	Penitent One, free me from this false virtue. Free me from this false death.	Penitente, libradme de esta falsa virtud. Libradme de esta falsa muerte.
BOSSES/DLG_BS102_02_0	无论你是否被奇迹亲吻，你的忏悔都将在这里结束	Kissed by the Miracle or not, your penitence ends here.	Besado o no por el Milagro, vuestra penitencia termina aquí.
BOSSES/DLG_BS102_03_0	安息在我破碎的坟墓旁吧	Rest now alongside the broken reflection of my tomb.	Descansad ahora junto al reflejo quebrado de mi tumba.
BOSSES/DLG_BS102_04_0	当我们的奇迹遣回你时，死去，然后回到我身旁吧	Die and come back to me when our Miracle has returned you.	Morid y retornad a mi cuando nuestro Milagro os haya devuelto.
BOSSES/DLG_BS102_05_0	我的热情，曾经铸为黄金，现在回到了我的体内	My passion, once made gold, now returns to my body.	Pasión mía que una vez fuiste oro, vuelve ahora a mi cuerpo.
BOSSES/DLG_BS102_06_0	命运契约关系到我的觉醒，如今已然受到影响，大胆忏悔者竟敢有如此非分之想，我定教尔等安守本分。	The fatal bargain that governs my awakening has been struck - I must end thy irreverent intention, Penitent One.	A cambio de mi despertar me ordena que ponga fin a vuestro propósito de infamia, Penitente.
BOSSES/DLG_BS102_06_1	长夜将终，黎明将至。	And so the long night is severed. Dawn cometh.	Ya amanece tras la noche larga.
BOSSES/DLG_BS12_01_0	妹妹…原谅我…	Sister... Forgive me...	Hermana... Perdonadme...
BOSSES/DLG_BS12_01_1	现在，我要前往大梦境的彼岸，并返回你的身旁…	Now I will cross over to the other side of the Dream and return to your side...	Ahora cruzaré hacia el otro lado del Sueño y volveré a vuestro lado...
BOSSES/DLG_BS12_02_0	我的姊妹，虽然我看不见你，但我知道你在那儿。请你聆听我的请求。	Sister, I know you are there, even if I can't see you. Hear my plea.	Hermana, que estáis ahí aunque no pueda veros. Escucha mi ruego.
BOSSES/DLG_BS12_02_1	你走之后，该轮到我了，我要证明自己不会辜负长官的信任。我不会让克兰莎失望的。	After your departure, it is now my turn to prove I'm deserving of our captain's trust. I will not fail Crisanta.	Tras vuestra marcha, me toca demostrar que soy digno de la confianza de nuestra capitana. No defraudaré a Crisanta.
BOSSES/DLG_BS12_02_2	如果我的忏悔之辞泄露出去，那便让无尽的痛苦将我吞噬吧。	And may the greatest of pains devour me if I let the penitence through this door.	Y que un gran dolor me muerda si permito que la penitencia cruce esta puerta.
BOSSES/DLG_BS12_02_3	务必当心，忏悔者。	On your guard, Penitent One.	En guardia, Penitente.
BOSSES/DLG_BS203_01_0	我们到了，我绯红的身影和你，到达了梦境的这一边	Here we are, my crimson figure and you, on this side of the Dream.	Henos aquí, mi figura desnuda en granate y vos, a este lado del Sueño.
BOSSES/DLG_BS203_01_1	奇迹把我变成了它神圣家园的哨兵。这是我的新使命	The Miracle has turned me into a sentinel of its sacred home. This is my new calling.	El Milagro me ha convertido en centinela de su sagrado hogar. Este es mi nuevo oficio.
BOSSES/DLG_BS203_01_2	除了那调和我们伤痛的眩目灰光，和那无际的地平线，你究竟期望在这里找到什么？	What do you hope to find here that is not the blinding grey light that tempers our wounds, and the vast horizons that extend without end?	¿Qué esperáis encontrar aquí que no sean la cegadora luz gris, que templa nuestras heridas, y los vastos horizontes, que se extienden sin final?
BOSSES/DLG_BS203_01_3	路中之路已经终结，你的忏悔亦是如此	The path of paths has ended and, with it, so too has your penance.	El camino de caminos ha terminado y con él vuestra penitencia.
BOSSES/DLG_BS203_02_0	在无所不知、无所不能的奇迹的欲望面前，退缩毫无意义	There is no point in recoiling from the desires of the all-knowing and all-powerful Miracle.	Es inútil rehuir a los deseos del Milagro, que todo puede y todo sabe.
BOSSES/DLG_BS203_03_0	流血，只有流血才能让我们更接近真正的圣洁	Bleed, for only spilt blood brings us closer to true Sanctity.	Sangrad, pues solo la sangre vertida nos acerca a la verdadera Santidad.
BOSSES/DLG_BS203_04_0	我内脏生出的恶寒是什么？是灵魂、思想和存在的死亡吗？	What is this cold that is born of my entrails? Is this the death of the soul, the mind, the being?	¿Qué es este frío que nace de mis entrañas? ¿Es esta la muerte del alma, del pensar, del ser?
BOSSES/DLG_BS203_05_0	我的最终任务完成了	My final task is completed.	Acabose mi última encomienda.
BOSSES/DLG_BS203_05_1	我要去，所有爱我的人也要去	I will go and so too will all those who loved me.	Yo me iré y se irán todos aquellos que me amaron.
BOSSES/DLG_BS203_05_2	现在，我要沉浸在这片云的土地上，在这片满是尘埃和微光的土地上	Now I will sink down here in this land of clouds, in this realm of dust and glimmering lights.	Ahora me hundiré aquí, en esta tierra de nubes, polvo y destellos.
BOSSES/DLG_BS203_06_0	现在，让你的躯体如我一样，浴血于此吧	Now let your body, like mine, be bathed in blood.	Ahora dejad que vuestro cuerpo, como el mío, de sangre se tiña.
BOSSES/DLG_BS203_06_1	这里将是你最后的安息之所，但这里没有人能照看你	This will be your final resting place, but no one here will be able to watch over you.	Este será vuestro camposanto, mas nadie aquí podrá velar por vos.
Bosses/AMANECIDA1_NAME	金刃阿马内奇达	Amanecida of the Golden Blades	Amanecida de los Filos Dorados
Bosses/AMANECIDA2_NAME	玉矢阿马内奇达	Amanecida of the Bejeweled Arrow	Amanecida de la Flecha Enjoyada
Bosses/AMANECIDA3_NAME	雕钢阿马内奇达	Amanecida of the Chiselled Steel	Amanecida del Acero Labrado
Bosses/AMANECIDA4_NAME	熔棘阿马内奇达	Amanecida of the Molten Thorn	Amanecida de la Espina Fundida
Bosses/ANGUISH_NAME	特雷斯·安古斯塔斯	Tres Angustias	Tres Angustias
Bosses/BEJEWELED_NAME	梅尔基亚德斯，掘墓大主教	Melquíades, The Exhumed Archbishop	Melquíades, El Arzobispo Exhumado
Bosses/BLINDBABY_NAME	弃婴，放逐之裔	Expósito, Scion of Abjuration	Expósito, Vástago de la Abjuración
Bosses/BURNTFACE_NAME	焦容圣母	Our Lady of the Charred Visage	Nuestra Señora de la Faz Denegrida
Bosses/CRISANTA_NAME	克兰莎，束裹之痛	Crisanta of the Wrapped Agony	Crisanta de la Agonía Vendada
Bosses/ELDERBROTHER_NAME	默哀守望者	Warden of the Silent Sorrow	Guardián del Lamento Mudo
Bosses/ESDRAS_NAME	圣膏军的埃达斯	Esdras, of the Anointed Legion	Esdras, de la Legión Ungida
Bosses/ISIDORA_NAME	伊西多拉，亡者之声	Isidora, Voice of the Dead	Isidora, Voz de los Muertos
Bosses/LAUDES_NAME	罗拉德斯，首位阿马内奇达	Laudes, the first of the Amanecidas	Laudes, Primera entre las Amanecidas
Bosses/PIETY_NAME	特彼达德	Ten Piedad	Ten Piedad
Bosses/PONTIFF2_NAME	奇迹幼子	Last Son of the Miracle	Hijo Último del Milagro
Bosses/PONTIFF_NAME	埃斯科利巴圣王	His Holiness Escribar	Su Santidad Escribar
Bosses/QUIRCE_NAME	奎尔斯，浴火归来者	Quirce, Returned By The Flames	Quirce, El devuelto por las Llamas
Bosses/SIERPES_NAME	毒蛇	Sierpes	Sierpes
CUTSCENE/CTS04-Dagger_Lady_0	以虔诚看见我痛苦内心的眼睛有福了	Blessed are the eyes that with devotion see my tormented heart.	Dichosos los ojos que con devoción ven mi corazón atormentado.
CUTSCENE/CTS04-Dagger_Lady_1	在患难与禁食中快乐的，来到我这里，因为它们是美好的苦行	Let the ones who are joyful in affliction and fasting come to me, for they are pleasant penance.	Que se acerque quien cuyos contentos son el padecimiento y los ayunos, pues son grata penitencia.
CUTSCENE/CTS04-Dagger_Lady_2	六次剧痛刺穿了我美丽的胸膛：拔出第一次，净化你灵魂的六处污点之一	Six stinging pains lance my flowery breast take the first one and purge one of your six mortal stains of the soul.	Seis dolores afilados sajan mi pecho florido, tomad el primero de ellos y purgad una de vuestras seis manchas capitales del alma.
CUTSCENE/CTS07-Deosgracias_0	你所寻求的，乃是苦难的摇篮	The Cradle of Affliction is what you seek.	La Cuna de La Aflicción es lo que perseguís.
CUTSCENE/CTS07-Deosgracias_1	这可以在众教会万母之母中找到	This can be found in the Mother of Mothers of the churches.	Esta se encuentra en la Madre de Madres de las iglesias.
CUTSCENE/CTS09-EndingB_0	那吞灭罪恶和罪人的灰山，也不会怜恤你们	The mountain of ashes that swallowed up sins and sinners alike has had no mercy on you either.	La montaña de ceniza que engulló pecados y pecadores por igual no ha tenido piedad con vos tampoco.
CUTSCENE/CTS09-EndingB_1	你过去在奇迹的主宰之下，如今也仍在奇迹的主宰之下	At the mercy of the Miracle you were and at the mercy of the Miracle you remain.	A merced del Milagro estábais y a merced del Milagro quedáis.
CUTSCENE/CTS09-EndingB_2	你不再是任何东西，只是一个匿名的面孔，没有声音，没有手势	You are no longer anything but one more anonymous visage, without a voice, without a countenance.	Ya no sois otra cosa que un rostro anónimo más, sin voz, sin gesto.
CUTSCENE/CTS09-EndingB_3	你的忏悔已经结束	Your penitence is over.	Vuestra penitencia ha terminado.
CUTSCENE/CTS102-Santos1_0	当扭曲者出现在公众面前时，五人众护卫着他。那时他仍然生活在痛苦和虔诚的神圣牢笼中，依靠并扎根在一棵树上，伫立在哭泣和裂缝之间	The Five guarded the Twisted One whenever he was paraded in public, when he still lived in that divine prison of pain and piety, supported on and rooted in a tree, between sobs and cracks.	Las Cinco custodiaban al Retorcido cuando era sacado en procesión, cuando aún vivía en aquella prisión divina de dolor y piedad, sostenido y enraizado en un madero, entre sollozos y crujidos.
CUTSCENE/CTS102-Santos1_1	那是很久以前的事了…是的，很久以前…	It was long ago... Yes, long ago...	Fue hace mucho... Sí, hace mucho...
CUTSCENE/CTS102-Santos1_2	赛塔便唱响在了它们之间。队伍越走越远，令所有人都得知了圣父再次受到了动摇	From them arose the Saeta, the procession march that spread far and wide letting all know that The Father was being swayed again.	De ellas surgía la Saeta, la marcha que se extendía por todas partes avisando a todos que El Padre estaba siendo mecido de nuevo.
CUTSCENE/CTS103-Santos2_0	罗拉德斯是首位阿马内奇达，她有着无限的热情。她对扭曲者是如此的忠诚，以至于她的身体都无法承受这点	The passion of Laudes, the first Amanecida, was immense. Such was her devotion to the Twisted One that her body was unable to bear it.	La pasión de Laudes, la primera Amanecida, era inmensa. Era tal su devoción por El Retorcido que su propio cuerpo no podía aguantarlo.
CUTSCENE/CTS103-Santos2_1	一天晚上，她感到皮肤上的毛孔纷纷打开，她的热情开始从毛孔里流出来，变成了金色的液体	One night, she felt the pores of her skin open, and her very passion began to exit through them, taking the form of liquid gold.	Durante una noche, sintió como los poros de su piel se abrían y de ellos comenzó a salir su pasión misma que adoptó la forma de oro líquido.
CUTSCENE/CTS103-Santos2_2	在那个漫长的夜晚，至高意志编织成了那条细线，创造了其他四个女人的身体。它们正是罗拉德斯激情的化身	In that long night, that fine thread was woven by the High Will, creating the bodies of the other four women. They are nothing but the very passion of Laudes incarnate.	En aquella larga noche, ese fino hilo se fue tejiendo por obra de la Alta Voluntad, creando los cuerpos de las otras cuatro mujeres. Ellas no son más que la propia pasión de Laudes encarnada.
CUTSCENE/CTS106-LaudesIntro_0	塞塔，哀恸之歌动人心弦，曾让我墓中的明镜为之破碎，如今就让它再放光明吧。荒野召唤者赛塔，点亮这五双死气沉沉的眼眸吧！	Oh, Saeta. Where once its piercing song shattered the mirrors and trinkets in my tomb, let its wail now grant light. Saeta, awakener of the desolate, ignite these five lifeless eyes!	Saeta, que has roto los espejos de mi tumba, enciende los ojos de mis cinco rostros muertos.
CUTSCENE/CTS106-LaudesIntro_1	这千年的苦痛是我的责罚，透心彻骨，宛如剧毒。我那被封印的热忱便是我的忏悔。贞正之力庇佑吾身。这一切都是因我而成，是我让这份热忱驻于我心。	These millennia of torment, my punishment, thread through my bones like poison. My forbidden passion is my penance. My golden virtuous strength armours me. I let this happen - I let this ardour grow inside me.	Más de mil años de condena han sido el castigo por haber permitido crecer dentro de mí una virtuosa pero prohibida pasión bordada en oros.
CUTSCENE/CTS106-LaudesIntro_2	予夺之要，皆在奇迹。	But only The Miracle giveth. Only The Miracle taketh away.	Pero solo el Milagro concede. Solo el Milagro despoja.
CUTSCENE/IntroBrotherhood_0	这是我的罪过，故我将你收下，苦痛奇迹	Because it is my Guilt, I claim you, Grievous Miracle.	Porque es mi culpa, os reclamo, Milagro Doloroso.@
CUTSCENE/IntroBrotherhood_1	让悲痛伤害我的胸膛	Make my chest hurt with regret.	Haced que mi pecho se duela de arrepentimiento.
CUTSCENE/IntroBrotherhood_2	铸造你的惩戒，并深深地钉住它	Forge your punishment and nail it deep.	Forjad vuestro castigo y clavadlo profundo.
CUTSCENE/IntroBrotherhood_3	再次铸造我的罪过	Shape my Guilt, once again.	Dad forma, una vez más, a mi Culpa.
CUTSCENE/IntroDeosgracias_0	因此，所有种类的灵魂的罪过、悔改、哀痛和痛苦，都在我们所有人的身上，在任何地方都明显和具体地表现了出来	And thus, guilt, repentance, mourning and every pain of the soul of all kind were visibly and tangibly manifested, everywhere and in all of us.	Y así, la culpa, el arrepentimiento, el duelo y los demás dolores del alma se manifestaron de forma visible y tangible, en todas partes y en todos nosotros.
CUTSCENE/IntroDeosgracias_1	有时以祝福和恩典的形式，有时则是以惩罚和腐败的形式	Sometimes in the form of blessing and grace, sometimes in the form of punishment and corruption.	A veces en forma de bendición y gracia, y otras, en forma de castigo y corrupción.
CUTSCENE/IntroDeosgracias_2	那种等同于虔诚和残酷的神圣意志，那种我们不能、也永远无法解开的意志，就是所谓的「奇迹」	That divine will, equally pious and cruel, which we could not and will never be able to unravel, was called The Miracle.	Aquella voluntad divina, por igual piadosa y cruel, que no pudimos desentrañar, ni podremos jamás, fue llamada El Milagro.
CUTSCENE/MeaCulpa_0	忏悔者，你把痛苦的罪恶握在你干裂的手中…	Penitent one, you who carry the painful guilt in your cracked hands...	Penitente que cargáis con la lacerante culpa en vuestras manos encalladas...
CUTSCENE/MeaCulpa_1	把它借给我们，减轻我们的负担	lend it to us and alleviate our burden.	...acercádnosla y aliviad nuestra carga.
CUTSCENE/MeaCulpa_2	把它借给我们，消弭我们的眼泪	Lend it to us and wipe away our tears.	Acercádnosla y enjugad nuestras lágrimas.
CUTSCENE/MeaCulpa_3	因为这是一种悔罪的行为	Because it is an act of penitence.	Porque es acto de penitencia.
CUTSCENE/PontiffEvent1_0	我们的请求没有答案，奇迹已经抛弃了我们，我华丽的宝座背对着那些在这里等待的人	There is no answer to our plea, the Miracle has forsaken us, and my ornate throne turns its back on those who await here.	No hay respuesta a nuestra súplica, el Milagro nos ha abandonado y mi trono ornamentado da la espalda a los que aquí esperan.
CUTSCENE/PontiffEvent2_0	我感到我的血变成了黑色的汁液，我的老皮肤变成了红色的树皮	I feel my blood turning into black sap, and my aged skin into reddish bark.	Siento como mi sangre se transforma en savia negra, y mi vieja piel en rojiza corteza.
CUTSCENE/PontiffEvent3_0	我从枯树的最高处看到了一切，奇迹正是在这枯树里让我转世	I see everything from the highest point of the dried tree in which the Miracle has reincarnated me.	Veo todo desde lo más alto del árbol seco en el que el Milagro me ha reencarnado.
CUTSCENE/PontiffEvent4_0	我从里到外地燃烧，我的烟是掩盖一切的雾	I burn from the inside out, and my smoke is a fog that conceals everything.	Ardo desde dentro hacia afuera y mi humo es una niebla que lo ciega todo.
CUTSCENE/PontiffEvent5_0	我从曾经是我摇篮的银灰中醒来。奇迹召唤着我	I awake now, from the silver ash that had been my cradle. The Miracle calls me.	Ahora despierto de la ceniza de plata que había sido mi cuna. El Milagro me llama.
CollectibleItem/CO01_CAPTION	裁判官拉瑟的头盖骨	Parietal bone of Lasser, the Inquisitor	Parietal de Lasser, el Inquisidor
CollectibleItem/CO01_DESCRIPTION	拉瑟与其他裁判官不同，他对被控告之人心怀同情，甚至想要废除极刑。此人软弱不堪，已被革籍流放	Unlike other inquisitors, Lasser showed an unusual amount of indulgence towards the accused, even to the point of stopping executions. His weakness led him to excommunication and exile.	A diferencia de otros inquisidores, Lasser mostró una inusitada indulgencia hacia los acusados, llegando incluso a detener ejecuciones. Su debilidad le llevó a la excomulgación y al destierro.
CollectibleItem/CO02_CAPTION	裁判官艾仕甘的下巴	Jaw of Ashgan, the Inquisitor	Mandíbula de Ashgan, el Inquisidor
CollectibleItem/CO02_DESCRIPTION	艾仕甘拼尽一切严刑拷打，企图以此寻求自己信条的真相，他甚至对祭司们也痛下黑手。但是此举只能让他陷入无尽的悔恨	Ashgan desperately sought answers for his creed through torture, even condemning members of the priesthood. He found nothing but regret in his actions.	Ashgan buscó desesperado respuestas a su credo a través de la tortura, condenando para ello incluso a miembros del sacerdocio. No halló más que arrepentimiento en sus actos.
CollectibleItem/CO03_CAPTION	酒师齐赫的颈椎	Cervical vertebra of Zicher, the Brewmaster	Cervical de Zicher, el Cervecero
CollectibleItem/CO03_DESCRIPTION	酒师齐赫酿造的酒闻名海内，但这也使他所在的修道院臭名昭著。他在夜间被处以火刑，他的传奇也随烈焰升入天堂	Zicher, the Brewmaster, gave ignoble fame to his monastery by brewing the most famous beer in the kingdom. One night, the flames of a fire raised his legend to the heavens.	"Zicher, el ""Maestro Cervecero"", dio innoble fama a su monasterio elaborando la cerveza más famosa del reino. Una noche, las llamas de un incendio elevaron su leyenda a los cielos."
CollectibleItem/CO04_CAPTION	学童道海森的锁骨	Clavicle of Dalhuisen, the Schoolchild	Clavícula de Dalhuisen, el Pupilo
CollectibleItem/CO04_DESCRIPTION	人们找他找了好几天，结果在森林里发现了马克的遗骸。自此之后，坊间就有传言说恶魔会骑着会飞的山羊从天边而来	They searched for him for days, until they found Mark's remains in the woods. Since then, rumours tell of demons riding on the backs of flying goats, coming from faraway lands.	Lo buscaron durante días hasta que dieron con los restos de Mark en el bosque. Desde entonces circulan rumores sobre demonios a lomos de cabras voladoras, venidas de otras tierras.
CollectibleItem/CO05_CAPTION	演员维塔斯的胸骨	Sternum of Vitas, the Performer	Esternón de Vitas, el Actor
CollectibleItem/CO05_DESCRIPTION	古斯托迪亚还记得自己对维塔斯·瓦纳斯钦慕有加。他会用自己无私的行动和振奋人心的话语来激励百姓	Cvstodia remembers with admiration the name of Vitas Varnas. He inspired the lives of his people through his altruistic actions as well as his inspirational words.	Cvstodia recuerda con admiración la figura de Vitas Varnas. No sólo inspiró la vida de sus gentes a través de sus altruistas acciones, sino también gracias a sus inspiradoras palabras.
CollectibleItem/CO06_CAPTION	卫兵萨诺克的肋骨	Ribs of Sabnock, the Guardian	Costillas de Sabnock, el Guardián
CollectibleItem/CO06_DESCRIPTION	萨诺克是圣膏军中的一员，他守卫着奇异魔印。即便是混乱降临，他已然坚守着城镇的大门	The Anointed Legion included Sabnock among its ranks, guardian and bearer of the Sigil of the Twisted. He fiercely protected the gates of town, even after chaos had arisen.	La Legión Ungida contó entre sus filas con Sabnock, guardián y portador del Sello del Retorcido. Protegió con fiereza las puertas de la ciudad, incluso tras alzarse el caos.
CollectibleItem/CO07_CAPTION	赌鬼约翰的脊椎	Vertebra of John, the Gambler	Vértebra de John, el Jugador
